date,cases
01/17/2012,410
01/18/2012,362
01/19/2012,377
01/20/2012,342
01/21/2012,378
01/22/2012,346
01/23/2012,380
01/24/2012,455
01/25/2012,500
01/26/2012,451
01/27/2012,422
01/28/2012,396
01/29/2012,349
01/30/2012,514
01/31/2012,410
02/01/2012,407
02/02/2012,418
02/03/2012,383
02/04/2012,368
02/05/2012,362
02/06/2012,485
02/07/2012,446
02/08/2012,437
02/09/2012,400
02/10/2012,417
02/11/2012,378
02/12/2012,415
02/13/2012,531
02/14/2012,410
02/15/2012,422
02/16/2012,400
02/17/2012,385
02/18/2012,373
02/19/2012,371
02/20/2012,468
02/21/2012,434
02/22/2012,430
02/23/2012,374
02/24/2012,400
02/25/2012,395
02/26/2012,395
02/27/2012,455
02/28/2012,422
02/29/2012,413
03/01/2012,413
03/02/2012,372
03/03/2012,366
03/04/2012,392
03/05/2012,472
03/06/2012,398
03/07/2012,430
03/08/2012,405
03/09/2012,397
03/10/2012,420
03/11/2012,380
03/12/2012,497
03/13/2012,404
03/14/2012,396
03/15/2012,419
03/16/2012,391
03/17/2012,401
03/18/2012,407
03/19/2012,476
03/20/2012,439
03/21/2012,408
03/22/2012,409
03/23/2012,399
03/24/2012,404
03/25/2012,392
03/26/2012,453
03/27/2012,425
03/28/2012,407
03/29/2012,394
03/30/2012,372
03/31/2012,376
04/01/2012,381
04/02/2012,481
04/03/2012,418
04/04/2012,374
04/05/2012,391
04/06/2012,365
04/07/2012,428
04/08/2012,358
04/09/2012,455
04/10/2012,395
04/11/2012,415
04/12/2012,422
04/13/2012,409
04/14/2012,442
04/15/2012,406
04/16/2012,492
04/17/2012,418
04/18/2012,430
04/19/2012,387
04/20/2012,439
04/21/2012,385
04/22/2012,425
04/23/2012,488
04/24/2012,389
04/25/2012,380
04/26/2012,439
04/27/2012,420
04/28/2012,364
04/29/2012,372
04/30/2012,458
05/01/2012,396
05/02/2012,461
05/03/2012,438
05/04/2012,427
05/05/2012,391
05/06/2012,389
05/07/2012,479
05/08/2012,467
05/09/2012,397
05/10/2012,374
05/11/2012,421
05/12/2012,365
05/13/2012,376
05/14/2012,506
05/15/2012,415
05/16/2012,413
05/17/2012,401
05/18/2012,406
05/19/2012,384
05/20/2012,419
05/21/2012,466
05/22/2012,399
05/23/2012,418
05/24/2012,383
05/25/2012,416
05/26/2012,367
05/27/2012,399
05/28/2012,478
05/29/2012,413
05/30/2012,401
05/31/2012,389
06/01/2012,410
06/02/2012,370
06/03/2012,355
06/04/2012,493
06/05/2012,388
06/06/2012,436
06/07/2012,391
06/08/2012,406
06/09/2012,391
06/10/2012,372
06/11/2012,509
06/12/2012,418
06/13/2012,400
06/14/2012,408
06/15/2012,417
06/16/2012,370
06/17/2012,400
06/18/2012,470
06/19/2012,403
06/20/2012,432
06/21/2012,438
06/22/2012,393
06/23/2012,384
06/24/2012,379
06/25/2012,523
06/26/2012,420
06/27/2012,361
06/28/2012,374
06/29/2012,380
06/30/2012,354
07/01/2012,394
07/02/2012,447
07/03/2012,385
07/04/2012,348
07/05/2012,384
07/06/2012,381
07/07/2012,416
07/08/2012,342
07/09/2012,500
07/10/2012,418
07/11/2012,426
07/12/2012,411
07/13/2012,374
07/14/2012,401
07/15/2012,417
07/16/2012,506
07/17/2012,418
07/18/2012,374
07/19/2012,374
07/20/2012,432
07/21/2012,361
07/22/2012,397
07/23/2012,532
07/24/2012,425
07/25/2012,427
07/26/2012,425
07/27/2012,371
07/28/2012,374
07/29/2012,347
07/30/2012,471
07/31/2012,402
08/01/2012,391
08/02/2012,429
08/03/2012,370
08/04/2012,370
08/05/2012,382
08/06/2012,446
08/07/2012,367
08/08/2012,377
08/09/2012,373
08/10/2012,441
08/11/2012,364
08/12/2012,380
08/13/2012,432
08/14/2012,357
08/15/2012,405
08/16/2012,365
08/17/2012,332
08/18/2012,347
08/19/2012,349
08/20/2012,419
08/21/2012,465
08/22/2012,426
08/23/2012,386
08/24/2012,368
08/25/2012,353
08/26/2012,377
08/27/2012,452
08/28/2012,412
08/29/2012,435
08/30/2012,375
08/31/2012,409
09/01/2012,402
09/02/2012,385
09/03/2012,508
09/04/2012,422
09/05/2012,405
09/06/2012,385
09/07/2012,362
09/08/2012,332
09/09/2012,354
09/10/2012,480
09/11/2012,426
09/12/2012,406
09/13/2012,423
09/14/2012,388
09/15/2012,369
09/16/2012,386
09/17/2012,481
09/18/2012,405
09/19/2012,410
09/20/2012,370
09/21/2012,399
09/22/2012,400
09/23/2012,398
09/24/2012,464
09/25/2012,404
09/26/2012,393
09/27/2012,386
09/28/2012,405
09/29/2012,416
09/30/2012,404
10/01/2012,469
10/02/2012,442
10/03/2012,398
10/04/2012,377
10/05/2012,380
10/06/2012,365
10/07/2012,417
10/08/2012,494
10/09/2012,428
10/10/2012,396
10/11/2012,381
10/12/2012,413
10/13/2012,378
10/14/2012,395
10/15/2012,441
